City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
284,betong,5.7743,101.0723,28.16,79,89,0.62,TH,2023-11-30 03:31:44
285,el porvenir,13.7617,-87.3458,23.63,82,31,2.85,HN,2023-11-30 03:31:44
286,sarangani,5.4033,125.4636,27.86,79,98,8.26,PH,2023-11-30 03:31:44
287,al jawf,29.5,38.75,13.83,68,0,3.51,SA,2023-11-30 03:31:44
288,georgetown,5.4112,100.3354,29.96,74,20,3.6,MY,2023-11-30 03:31:45
289,zeya,53.75,127.2667,-11.95,48,6,1.85,RU,2023-11-30 03:31:45
290,libreville,0.3925,9.4537,26.01,94,75,3.09,GA,2023-11-30 03:31:45
291,takoradi,4.8845,-1.7554,25.92,86,72,2.25,GH,2023-11-30 03:31:46
292,nemuro,43.3236,145.575,0.09,41,38,9.59,JP,2023-11-30 03:31:46
293,malindi,-3.2175,40.1191,25.65,82,91,2.9,KE,2023-11-30 03:31:46
294,lavrio,37.7145,24.0565,15.97,73,0,3.44,GR,2023-11-30 03:31:46
295,port lincoln,-34.7333,135.8667,18.93,69,89,5.44,AU,2023-11-30 03:31:46
296,new norfolk,-42.7826,147.0587,17.62,59,100,3.4,AU,2023-11-30 03:31:47
297,taksimo,56.3444,114.8794,-16.45,79,97,0.73,RU,2023-11-30 03:29:16
298,boajibu,8.1833,-11.3333,22.03,94,86,0.69,SL,2023-11-30 03:31:47
